Id,Id2,Geography,"2010Census","2010EstimatesBase",2010,2011,2012,2013
1620000US0100124,0100124,"Abbeville city, Alabama",2688,2688,2683,2690,2658,2651
1620000US0100460,0100460,"Adamsville city, Alabama",4522,4522,4519,4496,4474,4448
1620000US0100484,0100484,"Addison town, Alabama",758,756,754,752,747,748
1620000US0100676,0100676,"Akron town, Alabama",356,356,355,347,347,346
1620000US0100820,0100820,"Alabaster city, Alabama",30352,30357,30455,30704,31017,31342
1620000US0100988,0100988,"Albertville city, Alabama",21160,21127,21164,21362,21471,21556
1620000US0101132,0101132,"Alexander City city, Alabama",14875,14875,14833,14836,14752,14876
1620000US0101228,0101228,"Aliceville city, Alabama",2486,2481,2475,2427,2429,2417
1620000US0101396,0101396,"Allgood town, Alabama",622,622,623,626,625,625
1620000US0101660,0101660,"Altoona town, Alabama",933,937,938,935,933,930
1620000US0101708,0101708,"Andalusia city, Alabama",9015,9015,9025,9101,9062,9083
1620000US0101756,0101756,"Anderson town, Alabama",282,282,282,282,281,280
1620000US0101852,0101852,"Anniston city, Alabama",23106,23106,23066,22920,22783,22666
1620000US0102116,0102116,"Arab city, Alabama",8050,8087,8106,8198,8264,8316
1620000US0102260,0102260,"Ardmore town, Alabama",1194,1194,1204,1247,1276,1305
1620000US0102320,0102320,"Argo town, Alabama",4071,4071,4078,4090,4120,4175
1620000US0102428,0102428,"Ariton town, Alabama",764,762,763,754,757,748
1620000US0102500,0102500,"Arley town, Alabama",357,359,358,356,353,352
1620000US0102836,0102836,"Ashford town, Alabama",2148,2139,2143,2150,2166,2160
1620000US0102860,0102860,"Ashland town, Alabama",2037,2037,2032,2006,1976,1980
1620000US0102908,0102908,"Ashville city, Alabama",2212,2212,2217,2219,2230,2253
1620000US0102956,0102956,"Athens city, Alabama",21897,21890,22031,22820,23493,24000
1620000US0103004,0103004,"Atmore city, Alabama",10194,10194,10194,10151,10129,10113
1620000US0103028,0103028,"Attalla city, Alabama",6048,6048,6048,6025,6012,5980
1620000US0103076,0103076,"Auburn city, Alabama",53380,53393,53780,54927,57058,58582
1620000US0103220,0103220,"Autaugaville town, Alabama",870,880,880,883,879,864
1620000US0103364,0103364,"Avon town, Alabama",543,543,544,541,543,536
1620000US0103556,0103556,"Babbie town, Alabama",603,603,604,608,603,604
1620000US0103676,0103676,"Baileyton town, Alabama",610,612,613,614,614,618
1620000US0103724,0103724,"Bakerhill town, Alabama",279,279,278,274,271,269
1620000US0103940,0103940,"Banks town, Alabama",179,179,179,178,179,174
1620000US0104660,0104660,"Bay Minette city, Alabama",8044,8318,8348,8459,8650,8934
1620000US0104684,0104684,"Bayou La Batre city, Alabama",2558,2557,2693,2672,2651,2639
1620000US0104852,0104852,"Bear Creek town, Alabama",1070,1070,1072,1068,1061,1052
1620000US0104900,0104900,"Beatrice town, Alabama",301,302,301,298,295,289
1620000US0104948,0104948,"Beaverton town, Alabama",201,195,194,192,192,192
1620000US0105164,0105164,"Belk town, Alabama",215,215,215,214,213,213
1620000US0105692,0105692,"Benton town, Alabama",49,49,49,48,48,47
1620000US0105932,0105932,"Berry town, Alabama",1148,1148,1149,1136,1131,1124
1620000US0105980,0105980,"Bessemer city, Alabama",27456,27463,27442,27358,27201,27053
1620000US0106460,0106460,"Billingsley town, Alabama",144,144,144,145,145,143
1620000US0107000,0107000,"Birmingham city, Alabama",212237,212193,212107,211985,211441,212113
1620000US0107120,0107120,"Black town, Alabama",207,207,207,206,205,202
1620000US0107456,0107456,"Blountsville town, Alabama",1684,1684,1686,1698,1700,1707
1620000US0107672,0107672,"Blue Springs town, Alabama",96,96,96,95,95,94
1620000US0107912,0107912,"Boaz city, Alabama",9551,9468,9489,9559,9645,9695
