SightingDate	fullLocation	StateText	2013
1/1/13 00:04	Modesto, California	California	204933
1/1/13 00:05	Berkeley, California	California	116768
1/1/13 00:05	San Jose, California	California	998537
1/1/13 00:38	Long Beach, California	California	469428
1/1/13 16:30	Pittsburgh, Pennsylvania	Pennsylvania	305841
1/1/13 19:15	Stockton, California	California	298118
1/1/13 20:30	Springdale, Utah	Utah	548
1/1/14 00:00	Lafayette, Louisiana	Louisiana	124276
1/1/14 00:00	Wenatchee, Washington	Washington	32701
1/1/14 00:01	Henderson, Nevada	Nevada	270811
1/1/14 00:02	Goose Creek, South Carolina	South Carolina	39823
1/1/14 00:05	Spokane Valley, Washington	Washington	91113
1/1/14 00:15	Greenfield, Indiana	Indiana	21249
1/1/14 00:15	Oakland Park, Florida	Florida	43286
1/1/14 01:00	Albuquerque, New Mexico	New Mexico	556495
1/1/14 18:00	Philadelphia, Pennsylvania	Pennsylvania	1553165
1/1/14 18:30	Woodridge, Illinois	Illinois	33408
1/1/14 20:15	Pittsburgh, Pennsylvania	Pennsylvania	305841
1/1/14 20:45	Powers, Oregon	Oregon	674
1/1/14 21:30	Spokane, Washington	Washington	210721
1/1/14 22:15	Cincinnati, Ohio	Ohio	297517
1/10/14 06:15	El Paso, Texas	Texas	674433
1/10/14 20:00	Yuma, Arizona	Arizona	91923
1/10/14 20:50	Newport Beach, California	California	87273
1/11/13 18:30	Plantation, Florida	Florida	90268
1/11/14 19:20	Deerfield Beach, Florida	Florida	78041
1/11/14 22:25	New York, New York	New York	8405837
1/12/13 17:55	Sacramento, California	California	479686
1/12/13 19:00	Clayton, Georgia	Georgia	2234
1/12/13 21:00	Kennesaw, Georgia	Georgia	32001
1/12/13 21:45	Grass Valley, California	California	12793
1/12/14 00:05	Northport, New York	New York	7405
1/12/14 00:56	Lawton, Oklahoma	Oklahoma	97151
1/13/14 18:45	Greensboro, North Carolina	North Carolina	279639
1/13/14 20:30	Rushville, Indiana	Indiana	6204
1/14/14 02:00	Flossmoor, Illinois	Illinois	9526
1/15/14 14:30	Spearsville, Louisiana	Louisiana	135
1/15/14 19:45	St. Stephen, South Carolina	South Carolina	1762
1/15/14 20:00	Lilburn, Georgia	Georgia	12425
1/15/14 22:30	Stewartstown, Pennsylvania	Pennsylvania	2308
1/16/13 07:50	Coolidge, Arizona	Arizona	11887
1/16/13 20:04	Orting, Washington	Washington	7023
1/16/13 23:20	Astoria, Oregon	Oregon	9516
1/16/14 18:40	Corinth, New York	New York	2525
1/16/14 19:00	Glenpool, Oklahoma	Oklahoma	11617
1/16/14 23:00	Miami, Florida	Florida	417650
1/17/13 18:00	Austin, Texas	Texas	885400
1/17/14 13:00	Conroe, Texas	Texas	63032
1/17/14 18:00	Broomfield, Colorado	Colorado	59471
1/18/13 05:30	Milan, Ohio	Ohio	1351
1/18/14 20:45	Phoenix, Arizona	Arizona	1513367
1/18/14 23:39	Tacoma, Washington	Washington	203446
1/19/14 19:17	Carlsbad, California	California	110972
1/19/14 19:30	Freehold, New Jersey	New Jersey	12047
1/19/14 23:00	Portland, Oregon	Oregon	609456
1/2/13 04:45	Erlanger, Kentucky	Kentucky	18526
1/2/14 00:00	Auburn, Washington	Washington	74860
1/20/13 19:00	Indian Harbour Beach, Florida	Florida	8290
1/21/14 20:00	Oakley, California	California	38194
1/21/14 21:45	Vacaville, California	California	94275
1/22/14 10:30	Miramar, Florida	Florida	130288
1/22/14 17:15	Marysville, California	California	12213
1/22/14 21:15	Hialeah, Florida	Florida	233394
1/23/14 19:00	Myrtle Beach, South Carolina	South Carolina	29175
1/23/14 19:00	Saginaw, Michigan	Michigan	50303
1/23/14 21:35	Oviedo, Florida	Florida	36648
1/23/14 22:00	Conyers, Georgia	Georgia	15618
1/23/14 22:00	Miami, Florida	Florida	417650
