SightingDate	fullLocation	StateText	2013	City	lat	lon	bins	Shape
1/1/13 00:00	New Port Richey, Florida	Florida	15087	New Port Richey	28.247111	-82.7170240784753	1	Sphere
1/1/13 00:00	Irvine, California	California	236716	Irvine	33.6862707	-117.8258199	23	Other
1/1/13 00:00	Bellingham, Washington	Washington	82631	Bellingham	48.754402	-122.4788602	8	Disk
1/1/13 00:00	Richmond, Virginia	Virginia	214114	Richmond	37.5385087	-77.43428	21	Triangle
1/1/13 00:00	Rio Rancho, New Mexico	New Mexico	91956	Rio Rancho	35.269381	-106.632819	9	Other
1/1/13 00:01	Portland, Oregon	Oregon	609456	Portland	45.5202471	-122.6741949	60	Other
1/1/13 00:02	Ocean Springs, Mississippi	Mississippi	17493	Ocean Springs	30.4046076	-88.7845489461574	1	Fireball
1/1/13 00:04	Modesto, California	California	204933	Modesto	37.653176	-120.985143508507	20	Changing
1/1/13 00:05	Sykesville, Maryland	Maryland	4443	Sykesville	39.3737149	-76.9677566	0	Formation
1/1/13 00:05	San Jose, California	California	998537	San Jose	37.3438502	-121.8831349	99	Circle
1/1/13 00:05	Berkeley, California	California	116768	Berkeley	37.8708789	-122.2728247	11	Fireball
1/1/13 00:07	Billings, Montana	Montana	109059	Billings	45.7874957	-108.49607	10	Light
1/1/13 00:07	Bristol, Pennsylvania	Pennsylvania	9633	Bristol	40.1006661	-74.8518311	0	Oval
1/1/13 00:08	Odessa, Texas	Texas	110720	Odessa	31.8457149	-102.367687	11	Triangle
1/1/13 00:10	Jupiter, Florida	Florida	58298	Jupiter	26.9266959	-80.1220895098194	5	Circle
1/1/13 00:10	Stockton, California	California	298118	Stockton	37.9577016	-121.2907796	29	Fireball
1/1/13 00:10	Northampton, Pennsylvania	Pennsylvania	9914	Northampton	40.7451356	-75.3289302	0	Unknown
1/1/13 00:10	Milwaukee, Wisconsin	Wisconsin	599164	Milwaukee	43.0349931	-87.922497	59	Cone
1/1/13 00:12	Port Richey, Florida	Florida	2689	Port Richey	28.2716755	-82.7195451	0	Sphere
1/1/13 00:13	Ridgecrest, California	California	28600	Ridgecrest	35.6225064	-117.6699414	2	Light
1/1/13 00:15	Claremont, New Hampshire	New Hampshire	13051	Claremont	43.3767402	-72.3467561	1	Circle
1/1/13 00:15	Pickens, South Carolina	South Carolina	3148	Pickens	34.8882592	-82.7193824	0	Fireball
1/1/13 00:15	Pinellas Park, Florida	Florida	49998	Pinellas Park	27.86002	-82.7043884502688	4	Fireball
1/1/13 00:15	York, Pennsylvania	Pennsylvania	43935	York	39.962398	-76.727392	4	Other
1/1/13 00:20	Fort Worth, Texas	Texas	792727	Fort Worth	32.753177	-97.3327459	79	Light
1/1/13 00:25	Miami, Florida	Florida	417650	Miami	25.7742658	-80.1936589	41	Light
1/1/13 00:30	Palm Desert, California	California	50508	Palm Desert	33.7288179	-116.3825711	5	Sphere
1/1/13 00:37	Ormond beach, Florida	Florida	38661	Ormond beach	29.2858129	-81.0558894	3	Fireball
1/1/13 00:37	Farmington, New Mexico	New Mexico	45426	Farmington	36.7304288	-108.2089191	4	Egg
1/1/13 00:38	Long Beach, California	California	469428	Long Beach	33.7774658	-118.1884871	46	Formation
1/1/13 01:00	Delta Junction, Alaska	Alaska	948	Delta Junction	64.0619265	-145.688042976088	0	Triangle
1/1/13 01:00	Chicago, Illinois	Illinois	2718782	Chicago	41.8756208	-87.6243706	271	Cone
1/1/13 01:10	Elk Grove, California	California	161007	Elk Grove	38.4087993	-121.3716178	16	Sphere
1/1/13 01:15	St. George, Utah	Utah	76817	St. George	37.104153	-113.5841313	7	Cylinder
1/1/13 01:15	Tulare, California	California	61170	Tulare	36.2516475	-118.852583	6	Formation
1/1/13 01:30	Longview, Washington	Washington	36530	Longview	46.1427302	-122.955641	3	Unknown
1/1/13 01:35	Midvale, Utah	Utah	30764	Midvale	40.6110589	-111.8999353	3	Fireball
1/1/13 06:04	Jacksonville Beach, Florida	Florida	21823	Jacksonville Beach	30.2799735	-81.3732098801142	2	Disk
1/1/13 07:25	Westminster, Vermont	Vermont	287	Westminster	43.067857	-72.4586995	0	Oval
1/1/13 08:00	Lake Worth, Florida	Florida	36000	Lake Worth	26.62014255	-80.0629414613509	3	Fireball
1/1/13 13:10	Sacramento, California	California	479686	Sacramento	38.4732259	-121.2980707	47	Light
1/1/13 16:30	Pittsburgh, Pennsylvania	Pennsylvania	305841	Pittsburgh	40.4416941	-79.9900861	30	Circle
1/1/13 19:00	Sarasota, Florida	Florida	53326	Sarasota	27.3364347	-82.5306527	5	Light
1/1/13 19:15	Stockton, California	California	298118	Stockton	37.9577016	-121.2907796	29	Triangle
1/1/13 20:30	Springdale, Utah	Utah	548	Springdale	37.1888714	-112.9985515	0	Oval
1/1/13 20:35	Orlando, Florida	Florida	255483	Orlando	28.5421175	-81.3790462	25	Fireball
1/1/13 21:00	Anaheim, California	California	345012	Anaheim	33.8347516	-117.911732	34	Unknown
1/1/13 21:00	Port Townsend, Washington	Washington	9210	Port Townsend	48.1185325	-122.7679629	0	Diamond
1/1/13 21:27	New Port Richey, Florida	Florida	15087	New Port Richey	28.247111	-82.7170240784753	1	Changing
1/1/13 21:50	Fountain Hills, Arizona	Arizona	23235	Fountain Hills	33.6040195	-111.732893070898	2	Other
1/1/14 00:00	Dallas, Georgia	Georgia	12415	Dallas	32.7761963	-96.7968994	1	Sphere
1/1/14 00:00	Kettering, Ohio	Ohio	55870	Kettering	39.6895036	-84.1688274	5	Circle
1/1/14 00:00	Taos, New Mexico	New Mexico	5731	Taos	36.4072485	-105.5730665	0	Circle
1/1/14 00:00	Colorado Springs, Colorado	Colorado	439886	Colorado Springs	38.8338816	-104.8213634	43	Other
1/1/14 00:00	Sacramento, California	California	479686	Sacramento	38.4732259	-121.2980707	47	Unknown
