"","SightingDate","City","State","Shape","Duration","lon","lat","MilitaryDist","AirportDist","MeterologicalDist","SwampDist","HospitalDist","GolfDist","StorDist","MallDist","LibDist","Hour","Season","Month","Date","Year","Day","Date.Date","MilSw.diff","MilMet.diff","MetSw.diff","is.Round","Sw.Nearest","Met.Nearest","Mil.Nearest","mil.to.swamp.pref.rating","mil.to.swamp.pref.units","mil.to.met.pref.rating","mil.to.met.pref.units","MilMet.diff.mean.by.Roundness"
"2","1/31/13 23:00","Brewton","AL","Flash","45 minutes off and on",-87.0721918,31.1051779,5.35034574002558,42.6367953444742,42.6368274086506,3.83407164066562,2.44231055631513,75.8426229381272,99.5259013551848,0.935258173127753,52.7431467344219,23,"Winter",1,0013-01-31,13,31,2013-01-31,1.51627409935996,-37.286481668625,38.8027557679849,0,TRUE,FALSE,FALSE,0.716602594853484,0.283397405146516,7.96898546007734,6.96898546007734,2.65613366421381
"4","1/31/13 22:00","Monterey","CA","Flash","25 minutes",-121.866819010438,36.5845085,0.401030689696754,2.14962454116164,8.04504526428974,9.93960638723676,2.88373191064955,0.462517626527891,70.9260162537464,2.70676875418496,1.75148507532284,22,"Winter",1,0013-01-31,13,31,2013-01-31,-9.53857569754001,-7.64401457459299,-1.89456112294702,0,FALSE,FALSE,TRUE,24.7851514674669,23.7851514674669,20.0609216974719,19.0609216974719,2.65613366421381
"5","1/31/13 21:00","Mount Vernon","AR","Disk","10 minutes",-92.1240374,35.2264728,32.5555300543811,34.4973122483204,97.287271255563,20.8746783345311,29.7369400737029,34.2779063453475,53.9469516846081,26.3569718408105,34.4074109538409,21,"Winter",1,0013-01-31,13,31,2013-01-31,11.68085171985,-64.7317412011819,76.4125929210319,1,TRUE,FALSE,FALSE,0.641202225848014,0.358797774151986,2.98834855685204,1.98834855685204,4.21601663434953
"6","1/31/13 21:00","Glenside","PA","Triangle","2-3 minutes",-75.1515534498208,40.103196,8.02891078205453,10.3731378168159,10.3731378168156,35.8447298878319,3.13420382831641,4.2827081383736,2.56637396826068,3.14857006448172,1.64049847134139,21,"Winter",1,0013-01-31,13,31,2013-01-31,-27.8158191057774,-2.3442270347611,-25.4715920710163,0,FALSE,FALSE,TRUE,4.46445736673879,3.46445736673879,1.29197323253369,0.291973232533695,2.65613366421381
"7","1/31/13 19:45","Albuquerque","NM","Light","1-3 minutes",-106.6509851,35.0841034,4.77533227874485,6.18674852820424,11.9619442293107,56.2381888421239,0.942344186858773,14.6015510751217,1.82667766159795,2.35707599035911,0.0452422612076272,19,"Winter",1,0013-01-31,13,31,2013-01-31,-51.4628565633791,-7.18661195056582,-44.2762446128133,0,FALSE,FALSE,TRUE,11.7768116561107,10.7768116561107,2.50494489829611,1.50494489829611,2.65613366421381
"9","1/31/13 12:00","Puyallup","WA","Changing","5-10 minutes",-122.2921406,47.1849009,13.733073814958,11.6282358026539,13.6852362684794,13.4076573086753,0.713957430562699,16.8104369506228,8.28008818284525,0.156586602611912,28.4201127683143,12,"Winter",1,0013-01-31,13,31,2013-01-31,0.325416506282647,0.0478375464785987,0.277578959804048,0,TRUE,FALSE,FALSE,0.976304175549672,0.0236958244503285,0.996516617683472,0.00348338231652803,2.65613366421381
"10","1/31/13 05:30","Nixburg","AL","Sphere","3-5+- minutes",-86.1110787,32.8279036,47.2506298938699,54.9289535452021,62.5354219368741,43.6015962145484,17.3834379017806,28.4818251419331,181.534732662542,18.523729706594,22.9533197578554,5,"Winter",1,0013-01-31,13,31,2013-01-31,3.64903367932158,-15.2847920430042,18.9338257223258,1,TRUE,FALSE,FALSE,0.922772803505102,0.0772271964948976,1.32348334990106,0.32348334990106,4.21601663434953
"11","1/31/13 04:10","San Jose","CA","Unknown","5 minutes",-121.8831349,37.3438502,14.3353226735107,4.56043263537531,19.7583717441428,19.0035078446126,0.554941366660864,3.6623540087949,1.34699208340123,5.31975897680437,0.727019553487551,4,"Winter",1,0013-01-31,13,31,2013-01-31,-4.66818517110193,-5.42304907063205,0.754863899530125,0,FALSE,FALSE,TRUE,1.32564214126327,0.32564214126327,1.37829975607406,0.37829975607406,2.65613366421381
"12","1/30/13 20:50","Palm Coast","FL","Disk","5 minutes",-81.2207673,29.5541432,60.3472703367277,31.7498774812647,46.4774234499612,5.3115348485234,9.81174957094652,36.4994317841439,74.0527129154486,33.9339438706733,34.3413869431269,20,"Winter",1,0013-01-30,13,30,2013-01-30,55.0357354882043,13.8698468867665,41.1658886014378,1,TRUE,FALSE,FALSE,0.0880161574647192,0.911983842535281,0.77016612666364,0.22983387333636,4.21601663434953
"13","1/30/13 20:50","Kissimmee","FL","Triangle","3-5 minutes",-81.4078013,28.2920249,38.2188683401581,2.87765511926105,2.89204781607178,8.59507948126961,0.182205967197245,19.0693782633061,18.5444324868466,1.5321445225263,0.968120182616282,20,"Winter",1,0013-01-30,13,30,2013-01-30,29.6237888588885,35.3268205240863,-5.70303166519783,0,FALSE,TRUE,FALSE,0.224890998989586,0.775109001010414,0.0756706815683758,0.924329318431624,2.65613366421381
