6295716	Biloxi, Keesler Air Force Base, Navu	Biloxi, Keesler Air Force Base, Navu	BIX1	30.4019444444444	-88.9177777777778	S	STNM	US		MS				0	224	9	America/Indiana/Knox	2006-10-29
6297386	Claiborne Range, Airways Facilities Sector 	Claiborne Range, Airways Facilities Sector 	K01R	31.1333333333333	-92.5666666666667	S	STNM	US		LA				0	67	45	America/Indiana/Knox	2006-10-29
6297387	High Island	High Island	K01T	28.1333333333333	-94.4	S	STNM	US		LA				0	30	-9999	America/Indiana/Petersburg	2006-10-29
6297388	Hallock	Hallock	K03Y	48.7833333333333	-96.95	S	STNM	US		MN				0	250	244	America/North_Dakota/Center	2006-10-29
6297389	Saguache, Saguache Municipal Airport	Saguache, Saguache Municipal Airport	K04V	38.0972222222222	-106.168611111111	S	STNM	US		CO				0	2385	2379	America/Denver	2006-10-29
6297390	Gatesville, City-County Airport	Gatesville, City-County Airport	K05F	31.4211111111111	-97.7969444444444	S	STNM	US		TX				0	276	275	America/Chicago	2006-10-29
6297391	Charlotte, Fitch H Beach Airport	Charlotte, Fitch H Beach Airport	K07G	42.5744444444444	-84.8113888888889	S	STNM	US		MI				0	271	268	America/Detroit	2006-10-29
6297392	Deer Park, Deer Park Airport	Deer Park, Deer Park Airport	K07S	47.9741666666667	-117.428333333333	S	STNM	US		WA				0	672	670	America/Los_Angeles	2006-10-29
6297393	Goat Island Remote Automatic Meteorological Observing System 	Goat Island Remote Automatic Meteorological Observing System 	K0B9	43.3333333333333	-70.4	S	STNM	US		ME				0	12	-9999	America/New_York	2006-10-29
6297394	South Haven, South Haven Area Regional Airport	South Haven, South Haven Area Regional Airport	K0D1	42.3508333333333	-86.2561111111111	S	STNM	US		MI				0	203	198	America/Detroit	2006-10-29
6297395	Payson	Payson	K0E4	34.2333333333333	-111.333333333333	S	STNM	US		AZ				0	1498	1524	America/Phoenix	2006-10-29
6297396	Florala, Florala Municipal Airport	Florala, Florala Municipal Airport	K0J4	31.0425	-86.3116666666667	S	STNM	US		AL				0	96	99	America/Indiana/Knox	2006-10-29
6297397	Zuma Beach	Zuma Beach	K0L3	34.0166666666667	-118.816666666667	S	STNM	US		CA				0	6	39	America/Los_Angeles	2006-10-29
6297398	Custer, Custer County Airport	Custer, Custer County Airport	K0V1	43.7330555555556	-103.611388888889	S	STNM	US		SD				0	1711	1647	America/Denver	2006-10-29
6297399	Chincoteague	Chincoteague	K0W8	37.9333333333333	-75.3833333333333	S	STNM	US		VA				0	2	3	America/New_York	2006-10-29
6297400	Sturgeon Bay	Sturgeon Bay	K0Y2	44.7833333333333	-87.3166666666667	S	STNM	US		WI				0	176	176	America/Menominee	2006-10-29
6297401	Blakely, Early County Airport	Blakely, Early County Airport	K11J	31.3969444444444	-84.895	S	STNM	US		GA				0	65	69	America/Kentucky/Monticello	2006-10-29
6297402	Brenham, Brenham Municipal Airport	Brenham, Brenham Municipal Airport	K11R	30.2188888888889	-96.3741666666667	S	STNM	US		TX				0	94	76	America/Chicago	2006-10-29
6297403	New Castles Coast Guard Light Station	New Castles Coast Guard Light Station	K12B	43.1166666666667	-70.4833333333333	S	STNM	US		NH				0	1	-9999	America/New_York	2006-10-29
6297404	Rochelle, Rochelle Municipal-Koritz Field Airport	Rochelle, Rochelle Municipal-Koritz Field Airport	K12C	41.8930555555556	-89.0783333333333	S	STNM	US		IL				0	238	237	America/Chicago	2006-10-29
6297405	Andover, Aeroflex-Andover Airport	Andover, Aeroflex-Andover Airport	K12N	41.0088888888889	-74.7366666666667	S	STNM	US		NJ				0	177	183	America/New_York	2006-10-29
6297406	Nogales Automatic Meteorological Observing System	Nogales Automatic Meteorological Observing System	K13A	31.4166666666667	-110.85	S	STNM	US		AZ				0	1198	1155	America/Phoenix	2006-10-29
6297407	Niagara Coast Guard Station	Niagara Coast Guard Station	K13G	43.2666666666667	-79.0666666666667	S	STNM	US		NY				0	82	75	America/Detroit	2006-10-29
6297408	Great Duck Island Coast Guard Light Station	Great Duck Island Coast Guard Light Station	K14B	44.15	-68.25	S	STNM	US		ME				0	1	-9999	America/New_York	2006-10-29
6297409	Frankfort Coast Guard Station	Frankfort Coast Guard Station	K14C	44.6333333333333	-86.25	S	STNM	US		MI				0	174	176	America/Detroit	2006-10-29
6297410	Caldwell, Caldwell Municipal Airport	Caldwell, Caldwell Municipal Airport	K14R	30.5152777777778	-96.7038888888889	S	STNM	US		TX				0	119	111	America/Chicago	2006-10-29
6297411	Halfway Rock Coast Guard Light Station	Halfway Rock Coast Guard Light Station	K15B	43.65	-70.0333333333333	S	STNM	US		ME				0	1	-9999	America/New_York	2006-10-29
6297412	Milwaukee Coast Guard Light Station	Milwaukee Coast Guard Light Station	K15C	43.0166666666667	-87.95	S	STNM	US		WI				0	179	211	America/Chicago	2006-10-29
6297413	Heron Neck Coast Guard Light Station	Heron Neck Coast Guard Light Station	K16B	44.0333333333333	-68.8666666666667	S	STNM	US		ME				0	1	-9999	America/New_York	2006-10-29
6297414	Kenosha Coast Guard Station	Kenosha Coast Guard Station	K16C	42.5833333333333	-87.75	S	STNM	US		WI				0	223	176	America/Chicago	2006-10-29
6297415	Ludington Coast Guard Station	Ludington Coast Guard Station	K17C	43.95	-86.4666666666667	S	STNM	US		MI				0	182	176	America/Detroit	2006-10-29
6297416	Wadena, Wadena Municipal Airport	Wadena, Wadena Municipal Airport	K17W	46.4466666666667	-95.2116666666667	S	STNM	US		MN				0	418	415	America/North_Dakota/Center	2006-10-29
6297417	Mc Gregor, Isedor Iverson Airport	Mc Gregor, Isedor Iverson Airport	K17Y	46.6186111111111	-93.3097222222222	S	STNM	US		MN				0	374	374	America/Menominee	2006-10-29
6297418	Monhegan / Manana Island	Monhegan / Manana Island	K18B	43.7666666666667	-69.3333333333333	S	STNM	US		ME				0	1	-9999	America/New_York	2006-10-29
6297419	Michigan City Coast Guard Station	Michigan City Coast Guard Station	K18C	41.7166666666667	-86.9166666666667	S	STNM	US		IN				0	177	189	America/Indiana/Knox	2006-10-29
6297420	New London Ledge Coast Guard Station	New London Ledge Coast Guard Station	K18N	41.3	-72.0833333333333	S	STNM	US		CT				0	8	-9999	America/New_York	2006-10-29
6297421	Muskegon Coast Guard Station	Muskegon Coast Guard Station	K19C	43.2333333333333	-86.3333333333333	S	STNM	US		MI				0	182	198	America/Detroit	2006-10-29
6297422	Mora Municipal Automatic Weather Observing / Reporting System 	Mora Municipal Automatic Weather Observing / Reporting System 	K19D	45.8833333333333	-93.2666666666667	S	STNM	US		MN				0	309	305	America/Menominee	2006-10-29
6297423	Buffalo Coast Guard Station	Buffalo Coast Guard Station	K19G	42.8833333333333	-78.8833333333333	S	STNM	US		NY				0	180	180	America/Detroit	2006-10-29
6297424	Ship Shoal Platform	Ship Shoal Platform	K19R	28.6833333333333	-91.2166666666667	S	STNM	US		LA				0	18	-9999	America/Indiana/Petersburg	2006-10-29
6297425	Franklin, Macon County Airport	Franklin, Macon County Airport	K1A5	35.2166666666667	-83.4166666666667	S	STNM	US		NC				0	616	659	America/Kentucky/Monticello	2006-10-29
6297426	Middlesboro, Middlesboro-Bell County Airport	Middlesboro, Middlesboro-Bell County Airport	K1A6	36.6105555555556	-83.7372222222222	S	STNM	US		KY				0	352	360	America/Kentucky/Monticello	2006-10-29
6297427	Boothville Heliport	Boothville Heliport	K1B7	29.35	-89.4333333333333	S	STNM	US		LA				0	1	6	America/Indiana/Knox	2006-10-29
6297428	Ardmore, Ardmore Downtown Executive Airport	Ardmore, Ardmore Downtown Executive Airport	K1F0	34.1469444444444	-97.1225	S	STNM	US		OK				0	257	251	America/Chicago	2006-10-29
6297429	Bridgeport, Bridgeport Municipal Airport	Bridgeport, Bridgeport Municipal Airport	K1F9	33.1752777777778	-97.8283333333333	S	STNM	US		TX				0	260	250	America/Chicago	2006-10-29
6297430	Granite Falls, Granite Falls Municipal Airport/Lenzen-Roe Memorial Field	Granite Falls, Granite Falls Municipal Airport/Lenzen-Roe Memorial Field	K1G2	44.7530555555556	-95.5558333333333	S	STNM	US		MN				0	319	315	America/North_Dakota/New_Salem	2006-10-29
6297431	Mississippi Canyon	Mississippi Canyon	K1G7	28.7833333333333	-89.05	S	STNM	US		LA				0	18	-9999	America/Indiana/Petersburg	2006-10-29
6297432	Effingham, Effingham County Memorial Airport	Effingham, Effingham County Memorial Airport	K1H2	39.0705555555556	-88.5333333333333	S	STNM	US		IL				0	179	169	America/Indiana/Knox	2006-10-29
6297433	Saint Simon Island Coast Guard Station	Saint Simon Island Coast Guard Station	K1J1	31.1333333333333	-81.3666666666667	S	STNM	US		GA				0	1	-9999	America/Kentucky/Monticello	2006-10-29
6297434	Tybee Coast Guard Station	Tybee Coast Guard Station	K1J2	32.0166666666667	-80.85	S	STNM	US		GA				0	2	3	America/Kentucky/Monticello	2006-10-29
6297435	Ponce De Leon Inlet	Ponce De Leon Inlet	K1J3	29.0666666666667	-80.9166666666667	S	STNM	US		FL				0	3	1	America/Kentucky/Monticello	2006-10-29
6297436	Cape San Blas Coast Guard Station	Cape San Blas Coast Guard Station	K1J4	29.6833333333333	-85.3666666666667	S	STNM	US		FL				0	2	1	America/Kentucky/Monticello	2006-10-29
6297437	Santa Rosa Coast Guard Station	Santa Rosa Coast Guard Station	K1J5	30.3166666666667	-87.25	S	STNM	US		FL				0	2	-9999	America/Indiana/Knox	2006-10-29
6297438	Elkhart / Elkhart-Morton County Airport	Elkhart / Elkhart-Morton County Airport	K1K5	37.0	-101.883333333333	S	STNM	US		KS				0	1102	1107	America/North_Dakota/New_Salem	2006-10-29
6297439	Santa Monica Pier	Santa Monica Pier	K1L2	34.0	-118.5	S	STNM	US		CA				0	2	-9999	America/Los_Angeles	2006-10-29
6297440	Haleyville, Posey Field Airport	Haleyville, Posey Field Airport	K1M4	34.2802777777778	-87.6002777777778	S	STNM	US		AL				0	284	274	America/Indiana/Knox	2006-10-29
6297441	Montague	Montague	K1O5	41.7333333333333	-122.55	S	STNM	US		CA				0	770	771	America/Los_Angeles	2006-10-29
6297442	Plymouth, Plymouth Municipal Airport	Plymouth, Plymouth Municipal Airport	K1P1	43.7791666666667	-71.7536111111111	S	STNM	US		NH				0	154	154	America/New_York	2006-10-29
6297443	Rifle Aviation Weather Reporting Station 	Rifle Aviation Weather Reporting Station 	K1V1	39.5333333333333	-107.8	S	STNM	US		CO				0	1622	1645	America/Denver	2006-10-29
6297444	Saint Johnsbury	Saint Johnsbury	K1V4	44.4200458304848	-72.0192325115204	S	STNM	US		VT				0	212	187	America/New_York	2007-01-08
6297445	Wrightsville Beach	Wrightsville Beach	K1W9	34.1833333333333	-77.8166666666667	S	STNM	US		NC				0	3	-9999	America/Kentucky/Monticello	2006-10-29
6297446	Rockland Coast Guard Station	Rockland Coast Guard Station	K20B	44.1	-69.1	S	STNM	US		ME				0	1	-9999	America/New_York	2006-10-29
6297447	Saint Joseph Coast Guard Station	Saint Joseph Coast Guard Station	K20C	42.1166666666667	-86.4833333333333	S	STNM	US		MI				0	176	177	America/Indiana/Indianapolis	2006-10-29
6297448	Ashtabula Coast Guard Station	Ashtabula Coast Guard Station	K20G	41.9166666666667	-80.8	S	STNM	US		OH				0	178	174	America/Detroit	2006-10-29
6297449	West Jonesport Coast Guard Station	West Jonesport Coast Guard Station	K20J	44.5333333333333	-67.6166666666667	S	STNM	US		ME				0	5	-9999	America/New_York	2006-10-29
6297450	Kremmling, Mc Elroy Airfield	Kremmling, Mc Elroy Airfield	K20V	40.0536111111111	-106.368888888889	S	STNM	US		CO				0	2259	2257	America/Denver	2006-10-29
6297451	Rantoul, Frank Elliott Field Airport	Rantoul, Frank Elliott Field Airport	K215	40.2841666666667	-88.1341666666667	S	STNM	US		IL				0	225	219	America/Indiana/Knox	2006-10-29
6297452	Sheboygan Coast Guard Station	Sheboygan Coast Guard Station	K21C	43.75	-87.7	S	STNM	US		WI				0	1	176	America/Menominee	2006-10-29
6297453	Marblehead Coast Guard Station	Marblehead Coast Guard Station	K21G	41.55	-82.7333333333333	S	STNM	US		OH				0	196	174	America/Detroit	2006-10-29
6297454	Seguin Island Coast Guard Light Station	Seguin Island Coast Guard Light Station	K23B	43.6666666666667	-69.7666666666667	S	STNM	US		ME				0	1	-9999	America/New_York	2006-10-29
6297455	Cleveland Harbor Coast Guard Station	Cleveland Harbor Coast Guard Station	K23G	41.5	-81.7166666666667	S	STNM	US		OH				0	181	178	America/Detroit	2006-10-29
6297456	West Quoddy Head Coast Guard Light Station	West Quoddy Head Coast Guard Light Station	K24B	44.8	-66.95	S	STNM	US		ME				0	1	-9999	America/New_York	2006-10-29
6297457	Toledo Coast Guard Station	Toledo Coast Guard Station	K24G	41.7	-83.45	S	STNM	US		OH				0	180	174	America/Detroit	2006-10-29
6297458	Portsmouth Harbor	Portsmouth Harbor	K25B	43.0666666666667	-70.7166666666667	S	STNM	US		NH				0	1	1	America/New_York	2006-10-29
6297459	Erie Coast Guard Station	Erie Coast Guard Station	K25G	42.1166666666667	-80.0833333333333	S	STNM	US		PA				0	175	226	America/Detroit	2006-10-29
