name,address,zip,city,state,paid id,longitude,latitude,neighborhood,regionid
Hwy 151 Self Storage,Capital Drive Madison WI 53711,53711,Madison,WI,,-89.483018,43.082442,Highlands Community,343536
Hwy 151 Self Storage,Capital Drive Madison WI 53711,53711,Madison,WI,,-89.483018,43.082442,Spring Harbor,343532
Lincoln Warehouse CO,2018 South 1st Street Milwaukee WI 53207-1102,53207-1102,Milwaukee,WI,,-87.91117,43.008239,Clock Tower Acres,272070
KK Storage,1745 South Kinnickinnic Avenue Milwaukee WI 53204-4026,53204-4026,Milwaukee,WI,,-87.910182,43.01171,Clock Tower Acres,272070
Goodhope Manor Milwaukee LLC,7070 North 124th Street Milwaukee WI 53224-4206,53224-4206,Milwaukee,WI,,-88.064399,43.1459,Mill Valley,272181
East Towne Storage Center,1402 Parkside Dr Madison WI 53704,53704,Madison,WI,65342,-89.316563,43.118129,Hawthorne,343522
North Shore Self Storage,4390 North Richards Street Milwaukee WI 53212-1016,53212-1016,Milwaukee,WI,,-87.907101,43.09608,Estabrook Park,272092
East Side Stor-Mor,4150 North Lydell Street Milwaukee WI 53212-1018,53212-1018,Milwaukee,WI,,-87.910474,43.093754,Estabrook Park,272092
J T & T Inc,532 E Capitol Drive Milwaukee WI 53212-1372,53212-1372,Milwaukee,WI,,-87.904365,43.089288,Estabrook Park,272092
Wisconsin Portable Storage LLC,445 West Oklahoma Avenue Milwaukee WI 53207-2665,53207-2665,Milwaukee,WI,,-87.916963,42.987457,Polonia,275066
U.Store.It,2922 South 5th Court Milwaukee WI 53207,53207,Milwaukee,WI,63443,-87.916558,42.992119,Polonia,275066
U-Store-It South 5th Court,2922 South 5th Court Milwaukee WI 53207,53207,Milwaukee,WI,63443,-87.91474,42.991857,Polonia,275066
Eagle Moving And Storage Co,161 North 88th Street Milwaukee WI 53226-4613,53226-4613,Milwaukee,WI,,-88.021899,43.032894,Cannon Park,272059
Carl's Boat & Recreational Vehicle Storage Llc,12430 Macey Way San Antonio TX 78253-5289,78253-5289,San Antonio,TX,,-98.739732,29.4339,Villages Of Westcreek,271626
Pioneer Rv & Boat Storage,11509 Fm 1957 San Antonio TX 78253-9230,78253-9230,San Antonio,TX,,-98.71983,29.433577,Villages Of Westcreek,271626
Bilco Trailers Inc,9120 North 107th Street Milwaukee WI 53224-1509,53224-1509,Milwaukee,WI,,-88.043999,43.183186,North Granville,272200
Pit Stop Car Wash & Storage,8805 North 107th Street Milwaukee WI 53224-1502,53224-1502,Milwaukee,WI,,-88.044199,43.177529,North Granville,272200
East Towne Storage Center,2002 Atwood Avenue Suite 212 Madison WI 53704-5382,53704-5382,Madison,WI,65342,-89.355045,43.092112,Marquette,343528
Madison Isthmus Mini Storage,202 South Baldwin Street Madison WI 53703-3017,53703-3017,Madison,WI,,-89.364085,43.08569,Marquette,343528
O'Mara Moving Systems Inc,2010 Pennsylvania Avenue Madison WI 53704-4746,53704-4746,Madison,WI,,-89.360468,43.096373,Marquette,343528
Reynolds Transfer & Storage Inc,725 E Mifflin Street Madison WI 53703-2342,53703-2342,Madison,WI,,-89.377644,43.080929,Marquette,343528
C H & E MFG CO,3800 North 1st Street Milwaukee WI 53212-1235,53212-1235,Milwaukee,WI,,-87.910799,43.0871,Williamsburg,272305
Aberg Mini Warehouses,1909 Aberg Avenue Madison WI 53704-4203,53704-4203,Madison,WI,,-89.359017,43.1142,Sherman,272243
J & T Upholstery Inc,1223 South 23rd Street Milwaukee WI 53204-1900,53204-1900,Milwaukee,WI,,-87.942199,43.01877,Clarke Square,272068
National Warehouse Corporation,531 South Water Street Milwaukee WI 53204-1668,53204-1668,Milwaukee,WI,,-87.904673,43.0256,Harbor View,272118
KK Storage,1745 South Kinnickinnic Avenue Milwaukee WI 53204-4026,53204-4026,Milwaukee,WI,,-87.910182,43.01171,Harbor View,272118
Water Street Self Storage,412 S Water St Milwaukee WI 53204,53204,Milwaukee,WI,65343,-87.905567,43.026883,Harbor View,272118
Rock Transfer & Storage,130 West Edgerton Avenue Milwaukee WI 53207-6021,53207-6021,Milwaukee,WI,,-87.910387,42.9519,Mitchell Field,272184
Hwy 151 Self Storage,Capital Drive Madison WI 53711,53711,Madison,WI,,-89.483018,43.082442,Old Middleton Greenway,343578
Cottage Grove Storage Units,3321 Commercial Avenue Madison WI 53714-1464,53714-1464,Madison,WI,,-89.33174,43.1062,Worthington Park,272309
Stock-N-Lock,251 North Fair Oaks Avenue Madison WI 53714-1641,53714-1641,Madison,WI,,-89.330915,43.10197,Worthington Park,272309
Alton Enterprises LLC,2625 South Greeley Street Milwaukee WI 53207-2027,53207-2027,Milwaukee,WI,,-87.909288,42.996075,Bay View,272876
Lincoln Warehouse CO,2018 South 1st Street Milwaukee WI 53207-1102,53207-1102,Milwaukee,WI,,-87.91117,43.008239,Bay View,272876
KK Storage,1745 South Kinnickinnic Avenue Milwaukee WI 53204-4026,53204-4026,Milwaukee,WI,,-87.910182,43.01171,Bay View,272876
U-Store-It South 5th Court,2922 South 5th Court Milwaukee WI 53207,53207,Milwaukee,WI,63443,-87.91474,42.991857,Bay View,272876
Abc Kortsch Moving & Storage Co,2403 North Maryland Avenue Milwaukee WI 53211-4439,53211-4439,Milwaukee,WI,,-87.883099,43.061975,Lake Park,272148
East Bank Storage - Prospect,2136 N Prospect Ave Milwaukee WI 53202,53202,Milwaukee,WI,68197,-87.886014,43.057717,Lake Park,272148
E-Z Self Storage,143 West Saint Paul Avenue Milwaukee WI 53203-3109,53203-3109,Milwaukee,WI,,-87.912604,43.0347,Menomonee River Valley,272176
E-Z Self Storage,1201 West Canal Street Milwaukee WI 53233,53233,Milwaukee,WI,,-87.925015,43.031404,Menomonee River Valley,272176
Silver Spring Self Storage Inc,12000 West Silver Spring Drive Milwaukee WI 53225-2905,53225-2905,Milwaukee,WI,,-88.061468,43.117081,Timmerman West,272270
Bestway Transfer & Storage Inc,701 West Cleveland Avenue Milwaukee WI 53215-3415,53215-3415,Milwaukee,WI,,-87.92011,42.9956,Lincoln Village,272156
Vokot Inc.,2123 West Michigan Street Milwaukee WI 53233-1907,53233-1907,Milwaukee,WI,,-87.939568,43.0375,Avenues West,272037
